"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"03/04/2025","302,80","300,10","305,60","299,60","787,75K","-1,66%"
"02/04/2025","307,90","317,70","318,90","307,30","874,02K","-2,93%"
"01/04/2025","317,20","318,60","321,40","316,80","394,22K","0,41%"
"31/03/2025","315,90","311,00","317,70","309,10","638,79K","0,54%"
"28/03/2025","314,20","317,10","319,30","311,90","497,34K","-1,81%"
"27/03/2025","320,00","319,60","323,20","317,00","479,44K","-1,14%"
"26/03/2025","323,70","321,70","324,80","319,00","662,93K","0,62%"
"25/03/2025","321,70","331,00","332,00","318,20","858,09K","-3,45%"
"24/03/2025","333,20","337,10","338,20","332,70","555,02K","-0,30%"
"21/03/2025","334,20","336,90","339,40","332,30","739,25K","-1,71%"
"20/03/2025","340,00","342,90","343,70","336,00","499,13K","-0,90%"
"19/03/2025","343,10","340,90","343,90","338,90","758,08K","0,73%"
"18/03/2025","340,60","334,60","342,00","334,50","707,44K","2,47%"
"17/03/2025","332,40","332,40","332,40","328,10","529,97K","1,03%"
"14/03/2025","329,00","325,40","331,00","323,40","590,78K","1,08%"
"13/03/2025","325,50","329,40","329,60","323,90","583,54K","-1,36%"
"12/03/2025","330,00","334,10","336,60","329,90","447,86K","-1,05%"
"11/03/2025","333,50","335,00","340,00","331,90","697,85K","-0,45%"
"10/03/2025","335,00","333,50","337,40","329,00","874,65K","0,87%"
"07/03/2025","332,10","331,00","333,20","329,00","475,07K","0,21%"
"06/03/2025","331,40","323,20","332,40","323,20","979,75K","3,56%"
"05/03/2025","320,00","313,20","320,00","313,00","770,72K","2,37%"
"04/03/2025","312,60","312,00","312,60","308,10","736,93K","-1,39%"
"03/03/2025","317,00","319,70","321,00","315,00","726,48K","-0,84%"
"28/02/2025","319,70","326,00","326,70","318,00","1,22M","-2,77%"
"27/02/2025","328,80","328,00","329,00","324,00","610,60K","-0,27%"
"26/02/2025","329,70","327,70","332,60","327,60","443,62K","0,73%"
"25/02/2025","327,30","324,10","328,60","321,80","481,06K","1,02%"
"24/02/2025","324,00","320,50","325,50","320,10","403,07K","1,09%"
"21/02/2025","320,50","318,40","323,70","318,40","636,94K","0,85%"
"20/02/2025","317,80","320,90","321,00","317,30","693,89K","-1,27%"
"19/02/2025","321,90","328,80","330,00","318,70","790,41K","-2,34%"
"18/02/2025","329,60","328,50","331,80","327,20","329,27K","0,73%"
"17/02/2025","327,20","323,10","330,40","322,10","586,88K","1,27%"
"14/02/2025","323,10","322,50","325,90","320,70","587,30K","0,31%"
"13/02/2025","322,10","319,00","323,20","313,20","736,79K","1,67%"
"12/02/2025","316,80","321,00","321,20","314,40","734,73K","-1,00%"
"11/02/2025","320,00","313,00","320,00","311,30","789,62K","2,37%"
"10/02/2025","312,60","310,80","313,10","306,70","1,34M","0,74%"
"07/02/2025","310,30","320,00","322,50","309,30","2,46M","-7,10%"
"06/02/2025","334,00","337,30","337,50","332,10","613,85K","-0,33%"
"05/02/2025","335,10","336,80","338,70","333,70","408,38K","-0,45%"
"04/02/2025","336,60","337,70","338,50","334,20","499,80K","0,84%"
"03/02/2025","333,80","332,10","334,90","330,70","598,34K","-1,53%"
"31/01/2025","339,00","345,60","346,00","338,50","615,78K","-1,74%"
"30/01/2025","345,00","338,90","345,40","337,60","507,95K","1,80%"
"29/01/2025","338,90","341,70","352,70","338,90","1,43M","0,12%"
"28/01/2025","338,50","333,30","341,20","332,20","614,22K","1,56%"
"27/01/2025","333,30","327,00","333,80","326,40","459,40K","1,43%"
"24/01/2025","328,60","333,40","337,40","327,10","694,26K","-1,02%"
"23/01/2025","332,00","332,50","333,70","329,40","577,42K","0,00%"
"22/01/2025","332,00","334,00","335,10","331,70","532,22K","-0,69%"
"21/01/2025","334,30","332,70","335,90","332,00","563,09K","0,30%"
"20/01/2025","333,30","332,00","333,50","329,60","532,65K","0,39%"
"17/01/2025","332,00","331,40","337,10","331,10","662,23K","0,73%"
"16/01/2025","329,60","335,20","336,80","328,60","623,26K","-1,26%"
"15/01/2025","333,80","328,40","336,50","328,20","653,71K","1,99%"
"14/01/2025","327,30","322,00","330,20","322,00","1,02M","3,18%"
"13/01/2025","317,20","317,50","319,50","312,40","696,68K","0,99%"
"10/01/2025","314,10","311,00","318,30","309,70","585,64K","0,96%"
"09/01/2025","311,10","307,00","313,40","305,30","654,21K","1,30%"
"08/01/2025","307,10","309,80","311,20","302,60","588,03K","-0,87%"
"07/01/2025","309,80","310,70","312,40","307,10","556,61K","-0,29%"
"06/01/2025","310,70","308,00","313,10","307,00","567,01K","1,37%"
"03/01/2025","306,50","304,10","307,20","302,20","405,80K","0,52%"
"02/01/2025","304,90","301,10","305,50","301,10","494,97K","1,36%"
"30/12/2024","300,80","299,80","301,70","298,40","525,30K","0,33%"
"27/12/2024","299,80","299,20","301,30","299,20","324,04K","0,27%"
"23/12/2024","299,00","299,80","300,80","297,60","296,31K","-0,20%"
"20/12/2024","299,60","300,00","300,00","297,00","1,19M","-0,63%"
"19/12/2024","301,50","300,90","304,60","299,80","609,95K","-1,24%"
"18/12/2024","305,30","315,30","315,50","302,10","1,00M","-3,05%"
"17/12/2024","314,90","315,60","317,10","314,00","479,53K","-1,47%"
"16/12/2024","319,60","321,20","322,30","317,80","480,20K","-1,24%"
"13/12/2024","323,60","324,80","326,10","323,10","256,37K","-0,89%"
