Date,HWWI Natural Gas,LSG Natural Gas TTF NL 1st Fut. Mth - SETT. PRICE,LSG Natural Gas TTF NL 1st Fut. Qtr - SETT. PRICE,Ammonia
02/01/2014,8.56,37.287,36.058,460.00
09/01/2014,8.56,37.089,35.757,502.00
16/01/2014,8.56,36.153,35.541,502.00
23/01/2014,8.56,36.225,35.637,502.00
30/01/2014,8.56,34.479,34.249,490.00
06/02/2014,8.15,33.66,33.32,488.00
13/02/2014,8.15,33.14,33.454,492.00
20/02/2014,8.15,32.608,33.02,506.00
27/02/2014,8.15,31.742,32.358,518.00
06/03/2014,7.28,33.189,33.328,530.00
13/03/2014,7.28,32.938,32.562,530.00
20/03/2014,7.28,31.427,31.634,575.00
27/03/2014,7.28,30.157,30.336,575.00
03/04/2014,6.96,27.296,27.982,575.00
10/04/2014,6.96,29.289,29.677,583.00
17/04/2014,6.96,28.819,29.539,586.00
24/04/2014,6.96,27.846,28.744,588.00
01/05/2014,6.08,27.037,27.634,585.00
08/05/2014,6.08,27.31,27.837,585.00
15/05/2014,6.08,26.72,27.433,578.00
22/05/2014,6.08,26.699,27.519,538.00
29/05/2014,6.08,25.569,26.59,538.00
05/06/2014,5.62,23.731,24.398,539.00
12/06/2014,5.62,23.552,24.366,541.00
19/06/2014,5.62,23.76,24.673,535.00
26/06/2014,5.62,23.415,24.23,526.00
03/07/2014,5.15,22.225,30.555,517.00
10/07/2014,5.15,20.918,29.582,517.00
17/07/2014,5.15,23.319,32.173,517.00
24/07/2014,5.15,23.032,31.679,517.00
31/07/2014,4.76,23.255,30.909,521.00
07/08/2014,4.76,24.166,31.977,521.00
14/08/2014,4.76,24.526,32.808,531.00
21/08/2014,4.76,22.983,31.22,586.00
28/08/2014,4.76,24.967,31.686,570.00
04/09/2014,5.22,28.591,31.119,593.00
11/09/2014,5.22,27.824,30.995,593.00
18/09/2014,5.22,28.725,31.336,595.00
25/09/2014,5.22,28.364,30.722,650.00
02/10/2014,6.47,30.305,31.444,665.00
09/10/2014,6.47,29.811,31.146,685.00
16/10/2014,6.47,29.332,30.738,693.00
23/10/2014,6.47,28.585,30.014,688.00
30/10/2014,6.47,28.247,29.876,688.00
06/11/2014,7,28.355,28.853,688.00
13/11/2014,7,28.13,28.591,680.00
20/11/2014,7,28.944,29.371,680.00
27/11/2014,7,30.141,30.478,648.00
04/12/2014,6.92,29.103,29.103,630.00
11/12/2014,6.92,28.269,28.269,620.00
18/12/2014,6.92,27.751,27.935,580.00
25/12/2014,6.92,27.549,27.585,580.00
01/01/2015,7.05,27.347,25.714,580.00
08/01/2015,7.05,23.054,25.058,519.00
15/01/2015,7.05,23.348,24.623,508.00
22/01/2015,7.05,22.285,24.26,497.00
29/01/2015,7.05,23.356,24.093,475.00
05/02/2015,6.16,24.461,24.29,475.00
12/02/2015,6.16,27.693,26.157,475.00
19/02/2015,6.16,24.944,24.261,475.00
26/02/2015,6.16,26.407,25.174,475.00
05/03/2015,6.49,23.272,23.074,492.00
12/03/2015,6.49,23.122,22.931,492.00
19/03/2015,6.49,22.416,22.395,492.00
26/03/2015,6.49,23.834,23.725,492.00
02/04/2015,6.56,23.671,23.377,492.00
09/04/2015,6.56,23.363,23.01,492.00
16/04/2015,6.56,22.982,22.822,492.00
23/04/2015,6.56,22.661,22.467,487.00
30/04/2015,6.35,23.23,22.883,473.00
07/05/2015,6.35,22.692,22.67,470.00
14/05/2015,6.35,23.353,23.353,470.00
21/05/2015,6.35,22.743,22.743,468.00
28/05/2015,6.35,22.492,22.328,468.00
04/06/2015,5.85,22.564,22.586,468.00
11/06/2015,5.85,22.524,22.524,468.00
18/06/2015,5.85,22.978,22.921,465.00
25/06/2015,5.85,22.944,22.922,465.00
02/07/2015,5.89,23.186,23.963,468.00
09/07/2015,5.89,22.92,23.56,468.00
16/07/2015,5.89,22.952,23.552,468.00
23/07/2015,5.89,22.527,23.219,468.00
30/07/2015,5.89,22.811,23.27,468.00
06/08/2015,6.07,22.045,23.649,468.00
13/08/2015,6.07,21.642,22.365,468.00
20/08/2015,6.07,21.222,22.005,468.00
27/08/2015,6.07,21.311,22.017,473.00
03/09/2015,5.73,21.805,22.304,473.00
10/09/2015,5.73,21.716,22.165,473.00
17/09/2015,5.73,21.559,21.955,473.00
24/09/2015,5.73,20.997,21.335,473.00
01/10/2015,5.63,20.56,20.952,468.00
08/10/2015,5.63,21.291,21.595,468.00
15/10/2015,5.63,20.689,20.974,468.00
22/10/2015,5.63,20.257,20.458,463.00
29/10/2015,5.63,19.894,20.147,463.00
05/11/2015,5.62,19.316,19.446,450.00
12/11/2015,5.62,18.101,18.305,443.00
19/11/2015,5.62,18.683,19.166,428.00
26/11/2015,5.62,18.795,19.167,413.00
03/12/2015,5.44,18.881,18.989,403.00
10/12/2015,5.44,17.992,18.134,400.00
17/12/2015,5.44,17.01,17.118,383.00
24/12/2015,5.44,15.836,16.92,353.00
31/12/2015,5.1,16.056,16.208,353.00
07/01/2016,5.1,16.682,16.325,346.00
14/01/2016,5.1,14.937,14.633,348.00
21/01/2016,5.1,13.801,13.368,350.00
28/01/2016,5.1,14.823,15.097,330.00
04/02/2016,4.37,13.761,13.962,330.00
11/02/2016,4.37,13.442,13.533,333.00
18/02/2016,4.37,13.341,13.519,333.00
25/02/2016,4.37,13.162,13.162,338.00
03/03/2016,3.78,13.118,13.14,338.00
10/03/2016,3.78,13.264,13.209,338.00
17/03/2016,3.78,13.693,13.41,340.00
24/03/2016,3.78,13.452,13.697,340.00
31/03/2016,3.66,13.789,13.618,340.00
07/04/2016,3.66,12.668,12.691,345.00
14/04/2016,3.66,12.648,12.727,343.00
21/04/2016,3.66,13.468,14.281,343.00
28/04/2016,3.66,14.348,14.427,348.00
05/05/2016,3.44,14.534,14.591,348.00
12/05/2016,3.44,14.689,14.769,348.00
19/05/2016,3.44,14.566,14.678,358.00
26/05/2016,3.44,15.154,15.244,348.00
02/06/2016,3.73,16.215,16.182,348.00
09/06/2016,3.73,15.935,16.116,335.00
16/06/2016,3.73,15.862,15.996,335.00
23/06/2016,3.73,17.287,17.514,325.00
30/06/2016,4.22,15.475,15.909,325.00
07/07/2016,4.22,15.801,18.248,315.00
